#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Apr 20 17:46:50 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mux_map.ncd
#OUTPUT FILE:      mux_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C2,,IOB33M,IO_L16P_T2_35,UNUSED,,35,,,,,,,,,
C3,,,VCCO_35,,,35,,,,,1.80,,,,
C4,inp2<21>,IOB,IO_L7P_T1_AD6P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C5,,IOB33S,IO_L1N_T0_AD4N_35,UNUSED,,35,,,,,,,,,
C6,,IOB33M,IO_L1P_T0_AD4P_35,UNUSED,,35,,,,,,,,,
C7,inp3<6>,IOB,IO_L4N_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C8,,,GND,,,,,,,,,,,,
C9,,IOB33M,IO_L11P_T1_SRCC_16,UNUSED,,16,,,,,,,,,
C10,,IOB33S,IO_L13N_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C11,,IOB33M,IO_L13P_T2_MRCC_16,UNUSED,,16,,,,,,,,,
C12,,IOB33M,IO_L3P_T0_DQS_AD1P_15,UNUSED,,15,,,,,,,,,
C13,,,VCCO_15,,,15,,,,,1.80,,,,
C14,,IOB33S,IO_L1N_T0_AD0N_15,UNUSED,,15,,,,,,,,,
C15,inp3<24>,IOB,IO_L12N_T1_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C16,inp2<9>,IOB,IO_L20P_T3_A20_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C17,inp2<10>,IOB,IO_L20N_T3_A19_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C18,,,GND,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,,IOB33S,IO_L14N_T2_SRCC_35,UNUSED,,35,,,,,,,,,
D3,inp2<31>,IOB,IO_L12N_T1_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D4,inp3<16>,IOB,IO_L11N_T1_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D5,,IOB33M,IO_L11P_T1_SRCC_35,UNUSED,,35,,,,,,,,,
D6,,,VCCO_35,,,35,,,,,1.80,,,,
D7,inp2<26>,IOB,IO_L6N_T0_VREF_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D8,inp3<3>,IOB,IO_L4P_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D9,,IOB33S,IO_L6N_T0_VREF_16,UNUSED,,16,,,,,,,,,
D10,,IOB33S,IO_L19N_T3_VREF_16,UNUSED,,16,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,inp3<7>,IOB,IO_L6P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D13,inp2<28>,IOB,IO_L6N_T0_VREF_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D14,,IOB33M,IO_L1P_T0_AD0P_15,UNUSED,,15,,,,,,,,,
D15,inp3<19>,IOB,IO_L12P_T1_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D16,,,VCCO_15,,,15,,,,,1.80,,,,
D17,inp3<29>,IOB,IO_L16N_T2_A27_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D18,inp2<12>,IOB,IO_L21N_T3_DQS_A18_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E1,inp2<2>,IOB,IO_L18N_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E2,,IOB33M,IO_L14P_T2_SRCC_35,UNUSED,,35,,,,,,,,,
E3,,IOB33M,IO_L12P_T1_MRCC_35,UNUSED,,35,,,,,,,,,
E4,,,GND,,,,,,,,,,,,
E5,inp2<24>,IOB,IO_L5N_T0_AD13N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E6,,IOB33M,IO_L5P_T0_AD13P_35,UNUSED,,35,,,,,,,,,
E7,inp2<20>,IOB,IO_L6P_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E8,,,VCCBATT_0,,,,,,,,,,,,
E9,,,CCLK_0,,,,,,,,,,,,
E10,,,TCK_0,,,,,,,,,,,,
E11,,,TDI_0,,,,,,,,,,,,
E12,,,TMS_0,,,,,,,,,,,,
E13,,,TDO_0,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,inp3<17>,IOB,IO_L11P_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E16,inp3<22>,IOB,IO_L11N_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E17,inp2<0>,IOB,IO_L16P_T2_A28_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E18,inp2<13>,IOB,IO_L21P_T3_DQS_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F1,,IOB33M,IO_L18P_T2_35,UNUSED,,35,,,,,,,,,
F2,,,VCCO_35,,,35,,,,,1.80,,,,
F3,,IOB33S,IO_L13N_T2_MRCC_35,UNUSED,,35,,,,,,,,,
F4,,IOB33M,IO_L13P_T2_MRCC_35,UNUSED,,35,,,,,,,,,
F5,,IOB33,IO_0_35,UNUSED,,35,,,,,,,,,
F6,,IOB33S,IO_L19N_T3_VREF_35,UNUSED,,35,,,,,,,,,
F7,,,GND,,,,,,,,,,,,
F8,,,VCCINT,,,,,,,,1.0,,,,
F9,,,GND,,,,,,,,,,,,
F10,,,VCCBRAM,,,,,,,,,,,,
F11,,,GND,,,,,,,,,,,,
F12,,,VCCAUX,,,,,,,,1.8,,,,
F13,inp3<5>,IOB,IO_L5P_T0_AD9P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F14,inp3<10>,IOB,IO_L5N_T0_AD9N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F15,inp3<23>,IOB,IO_L14P_T2_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F16,inp3<28>,IOB,IO_L14N_T2_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F17,,,GND,,,,,,,,,,,,
F18,inp2<17>,IOB,IO_L22N_T3_A16_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G1,,IOB33S,IO_L17N_T2_35,UNUSED,,35,,,,,,,,,
G2,inp3<27>,IOB,IO_L15N_T2_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G3,inp2<6>,IOB,IO_L20N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G4,,IOB33M,IO_L20P_T3_35,UNUSED,,35,,,,,,,,,
G5,,,VCCO_35,,,35,,,,,1.80,,,,
G6,,IOB33M,IO_L19P_T3_35,UNUSED,,35,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.0,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.0,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCBRAM,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,,IOB33,IO_0_15,UNUSED,,15,,,,,,,,,
G14,inp3<30>,IOB,IO_L15N_T2_DQS_ADV_B_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G15,,,VCCO_15,,,15,,,,,1.80,,,,
G16,inp3<26>,IOB,IO_L13N_T2_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G17,inp2<1>,IOB,IO_L18N_T2_A23_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G18,inp2<18>,IOB,IO_L22P_T3_A17_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H1,,IOB33M,IO_L17P_T2_35,UNUSED,,35,,,,,,,,,
H2,,IOB33M,IO_L15P_T2_DQS_35,UNUSED,,35,,,,,,,,,
H3,,,GND,,,,,,,,,,,,
H4,inp2<3>,IOB,IO_L21N_T3_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H5,inp1<26>,IOB,IO_L24N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H6,inp2<14>,IOB,IO_L24P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.0,,,,
H9,,,GNDADC_0,,,,,,,,,,,,
H10,,,VCCADC_0,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCAUX,,,,,,,,1.8,,,,
H13,,,GND,,,,,,,,,,,,
H14,inp3<25>,IOB,IO_L15P_T2_DQS_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H15,inp2<8>,IOB,IO_L19N_T3_A21_VREF_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H16,inp3<21>,IOB,IO_L13P_T2_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H17,inp2<5>,IOB,IO_L18P_T2_A24_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H18,,,VCCO_15,,,15,,,,,1.80,,,,
J1,,,VCCO_35,,,35,,,,,1.80,,,,
J2,,IOB33S,IO_L22N_T3_35,UNUSED,,35,,,,,,,,,
J3,inp4<3>,IOB,IO_L22P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J4,,IOB33M,IO_L21P_T3_DQS_35,UNUSED,,35,,,,,,,,,
J5,inp4<10>,IOB,IO_25_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J6,,,GND,,,,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.0,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VREFN_0,,,,,,,,,,,,
J10,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.0,,,,
J12,,,GND,,,,,,,,,,,,
J13,inp2<4>,IOB,IO_L17N_T2_A25_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J14,inp2<7>,IOB,IO_L19P_T3_A22_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J15,inp2<11>,IOB,IO_L24N_T3_RS0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J16,,,GND,,,,,,,,,,,,
J17,inp4<4>,IOB,IO_L23P_T3_FOE_B_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J18,inp4<1>,IOB,IO_L23N_T3_FWE_B_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K1,inp2<16>,IOB,IO_L23N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
K2,inp2<15>,IOB,IO_L23P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
K3,inp1<31>,IOB,IO_L2P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K4,,,VCCO_34,,,34,,,,,1.80,,,,
K5,inp1<27>,IOB,IO_L5P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K6,inp4<0>,IOB,IO_0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.0,,,,
K9,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
K10,,,VREFP_0,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCAUX,,,,,,,,1.8,,,,
K13,inp3<31>,IOB,IO_L17P_T2_A26_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K14,,,VCCO_15,,,15,,,,,1.80,,,,
K15,inp1<25>,IOB,IO_L24P_T3_RS1_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K16,inp2<19>,IOB,IO_25_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K17,inp1<19>,IOB,IO_L1P_T0_D00_MOSI_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
K18,inp1<20>,IOB,IO_L1N_T0_D01_DIN_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L1,out<2>,IOB,IO_L1P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,,,GND,,,,,,,,,,,,
L3,inp4<2>,IOB,IO_L2N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
L4,out<3>,IOB,IO_L5N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,,IOB33S,IO_L6N_T0_VREF_34,UNUSED,,34,,,,,,,,,
L6,,IOB33M,IO_L6P_T0_34,UNUSED,,34,,,,,,,,,
L7,,,VCCINT,,,,,,,,1.0,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,DXN_0,,,,,,,,,,,,
L10,,,DXP_0,,,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.0,,,,
L12,,,GND,,,,,,,,,,,,
L13,inp1<29>,IOB,IO_L6P_T0_FCS_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L14,inp1<21>,IOB,IO_L2P_T0_D02_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L15,inp1<23>,IOB,IO_L3P_T0_DQS_PUDC_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L16,inp1<24>,IOB,IO_L3N_T0_DQS_EMCCLK_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
L17,,,VCCO_14,,,14,,,,,1.80,,,,
L18,inp4<7>,IOB,IO_L4P_T0_D04_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
M1,inp4<5>,IOB,IO_L1N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M2,inp4<11>,IOB,IO_L4N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M3,inp4<14>,IOB,IO_L4P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M4,inp4<31>,IOB,IO_L16P_T2_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M5,,,GND,,,,,,,,,,,,
M6,inp1<3>,IOB,IO_L18P_T2_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCINT,,,,,,,,1.0,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCINT,,,,,,,,1.0,,,,
M11,,,GND,,,,,,,,,,,,
M12,,,VCCAUX,,,,,,,,1.8,,,,
M13,inp1<30>,IOB,IO_L6N_T0_D08_VREF_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
M14,inp1<22>,IOB,IO_L2N_T0_D03_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
M15,,,GND,,,,,,,,,,,,
M16,inp4<19>,IOB,IO_L10P_T1_D14_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
M17,out<4>,IOB,IO_L10N_T1_D15_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M18,inp4<8>,IOB,IO_L4N_T0_D05_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
N1,inp4<6>,IOB,IO_L3N_T0_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N2,inp4<12>,IOB,IO_L3P_T0_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N3,,,VCCO_34,,,34,,,,,1.80,,,,
N4,inp1<0>,IOB,IO_L16N_T2_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N5,inp4<25>,IOB,IO_L13P_T2_MRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N6,inp1<4>,IOB,IO_L18N_T2_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N7,,,VCCINT,,,,,,,,1.0,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,VCCINT,,,,,,,,1.0,,,,
N12,,,GND,,,,,,,,,,,,
N13,,,VCCO_14,,,14,,,,,1.80,,,,
N14,inp4<15>,IOB,IO_L8P_T1_D11_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
N15,out<5>,IOB,IO_L11P_T1_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N16,out<6>,IOB,IO_L11N_T1_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N17,out<1>,IOB,IO_L9P_T1_DQS_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N18,,,GND,,,,,,,,,,,,
P1,,,GND,,,,,,,,,,,,
P2,sel2,IOB,IO_L15P_T2_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
P3,sel1,IOB,IO_L14N_T2_SRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
P4,inp4<27>,IOB,IO_L14P_T2_SRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
P5,inp4<29>,IOB,IO_L13N_T2_MRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
P6,,,VCCO_34,,,34,,,,,1.80,,,,
P7,,,INIT_B_0,,,,,,,,,,,,
P8,,,CFGBVS_0,,,,,,,,,,,,
P9,,,PROGRAM_B_0,,,,,,,,,,,,
P10,,,DONE_0,,,,,,,,,,,,
P11,,,M2_0,,,,,,,,,,,,
P12,,,M0_0,,,,,,,,,,,,
P13,,,M1_0,,,,,,,,,,,,
P14,out<0>,IOB,IO_L8N_T1_D12_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P15,out<9>,IOB,IO_L13P_T2_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,,,VCCO_14,,,14,,,,,1.80,,,,
P17,out<7>,IOB,IO_L12P_T1_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
P18,inp4<18>,IOB,IO_L9N_T1_DQS_D13_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R1,inp1<1>,IOB,IO_L17P_T2_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
R2,inp4<30>,IOB,IO_L15N_T2_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
R3,inp4<28>,IOB,IO_L11P_T1_SRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
R4,,,GND,,,,,,,,,,,,
R5,inp1<6>,IOB,IO_L19N_T3_VREF_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
R6,inp1<5>,IOB,IO_L19P_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
R7,inp1<13>,IOB,IO_L23P_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
R8,inp1<15>,IOB,IO_L24P_T3_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
R9,,,VCCO_0,,,0,,,,,any******,,,,
R10,inp1<17>,IOB,IO_25_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R11,inp1<18>,IOB,IO_0_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R12,inp4<9>,IOB,IO_L5P_T0_D06_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R13,inp1<28>,IOB,IO_L5N_T0_D07_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,out<10>,IOB,IO_L13N_T2_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R16,out<13>,IOB,IO_L15P_T2_DQS_RDWR_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R17,out<8>,IOB,IO_L12N_T1_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R18,inp4<13>,IOB,IO_L7P_T1_D09_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T1,inp1<2>,IOB,IO_L17N_T2_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
T2,,,VCCO_34,,,34,,,,,1.80,,,,
T3,inp4<22>,IOB,IO_L11N_T1_SRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
T4,inp4<24>,IOB,IO_L12N_T1_MRCC_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
